Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2/26/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,2/26/2015,19
Cumulative number of probable Ebola cases,Nigeria,2/26/2015,1
Cumulative number of suspected Ebola cases,Nigeria,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2/26/2015,20
Cumulative number of confirmed Ebola cases,Senegal,2/26/2015,1
Cumulative number of probable Ebola cases,Senegal,2/26/2015,0
Cumulative number of suspected Ebola cases,Senegal,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2/26/2015,1
Cumulative number of confirmed Ebola cases,Spain,2/26/2015,1
Cumulative number of probable Ebola cases,Spain,2/26/2015,0
Cumulative number of suspected Ebola cases,Spain,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2/26/2015,1
Cumulative number of confirmed Ebola cases,United States of America,2/26/2015,4
Cumulative number of probable Ebola cases,United States of America,2/26/2015,0
Cumulative number of suspected Ebola cases,United States of America,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2/26/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,2/26/2015,7
Cumulative number of probable Ebola deaths,Nigeria,2/26/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2/26/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,2/26/2015,0
Cumulative number of probable Ebola deaths,Senegal,2/26/2015,0
Cumulative number of suspected Ebola deaths,Senegal,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2/26/2015,0
Cumulative number of confirmed Ebola deaths,Spain,2/26/2015,0
Cumulative number of probable Ebola deaths,Spain,2/26/2015,0
Cumulative number of suspected Ebola deaths,Spain,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2/26/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,2/26/2015,1
Cumulative number of probable Ebola deaths,United States of America,2/26/2015,0
Cumulative number of suspected Ebola deaths,United States of America,2/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2/26/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,2/25/2015,1
Cumulative number of probable Ebola cases,United Kingdom,2/25/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,2/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2/25/2015,0
Cumulative number of confirmed Ebola cases,Guinea,2/25/2015,2762
Cumulative number of probable Ebola cases,Guinea,2/25/2015,387
Cumulative number of suspected Ebola cases,Guinea,2/25/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2/25/2015,3155
Number of confirmed Ebola cases in the last 21 days,Guinea,2/25/2015,152
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2/25/2015,152
Cumulative number of confirmed Ebola deaths,Guinea,2/25/2015,1704
Cumulative number of probable Ebola deaths,Guinea,2/25/2015,387
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2/25/2015,2091
Cumulative number of confirmed Ebola cases,Liberia,2/25/2015,3153
Cumulative number of probable Ebola cases,Liberia,2/25/2015,1888
Cumulative number of suspected Ebola cases,Liberia,2/25/2015,4197
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2/25/2015,9238
Number of confirmed Ebola cases in the last 21 days,Liberia,2/25/2015,10
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2/25/2015,10
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2/25/2015,4037
Cumulative number of confirmed Ebola cases,Sierra Leone,2/25/2015,8289
Cumulative number of probable Ebola cases,Sierra Leone,2/25/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,2/25/2015,2725
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2/25/2015,235
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2/25/2015,235
Cumulative number of confirmed Ebola deaths,Sierra Leone,2/25/2015,3095
Cumulative number of probable Ebola deaths,Sierra Leone,2/25/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2/25/2015,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2/25/2015,3461
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2/25/2015,11301
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2/25/2015,1
Cumulative number of confirmed Ebola cases,Mali,2/25/2015,7
Cumulative number of probable Ebola cases,Mali,2/25/2015,1
Cumulative number of suspected Ebola cases,Mali,2/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2/25/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2/25/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,2/25/2015,19
Cumulative number of probable Ebola cases,Nigeria,2/25/2015,1
Cumulative number of suspected Ebola cases,Nigeria,2/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2/25/2015,20
Cumulative number of confirmed Ebola cases,Senegal,2/25/2015,1
Cumulative number of probable Ebola cases,Senegal,2/25/2015,0
Cumulative number of suspected Ebola cases,Senegal,2/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2/25/2015,1
Cumulative number of confirmed Ebola cases,Spain,2/25/2015,1
Cumulative number of probable Ebola cases,Spain,2/25/2015,0
Cumulative number of suspected Ebola cases,Spain,2/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2/25/2015,1
Cumulative number of confirmed Ebola cases,United States of America,2/25/2015,4
Cumulative number of probable Ebola cases,United States of America,2/25/2015,0
Cumulative number of suspected Ebola cases,United States of America,2/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2/25/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,2/25/2015,7
Cumulative number of probable Ebola deaths,Nigeria,2/25/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,2/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2/25/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,2/25/2015,0
Cumulative number of probable Ebola deaths,Senegal,2/25/2015,0
Cumulative number of suspected Ebola deaths,Senegal,2/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2/25/2015,0
Cumulative number of confirmed Ebola deaths,Spain,2/25/2015,0
Cumulative number of probable Ebola deaths,Spain,2/25/2015,0
Cumulative number of suspected Ebola deaths,Spain,2/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2/25/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,2/25/2015,1
Cumulative number of probable Ebola deaths,United States of America,2/25/2015,0
Cumulative number of suspected Ebola deaths,United States of America,2/25/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2/25/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,2/23/2015,1
Cumulative number of probable Ebola cases,United Kingdom,2/23/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2/23/2015,3155
Cumulative number of confirmed Ebola cases,Guinea,2/23/2015,2758
Cumulative number of probable Ebola cases,Guinea,2/23/2015,387
Cumulative number of suspected Ebola cases,Guinea,2/23/2015,10
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2/23/2015,2086
Cumulative number of confirmed Ebola deaths,Guinea,2/23/2015,1699
Cumulative number of probable Ebola deaths,Guinea,2/23/2015,387
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2/23/2015,9229
Cumulative number of confirmed Ebola cases,Liberia,2/23/2015,3153
Cumulative number of probable Ebola cases,Liberia,2/23/2015,1888
Cumulative number of suspected Ebola cases,Liberia,2/23/2015,4188
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2/23/2015,4032
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2/23/2015,11155
Cumulative number of confirmed Ebola cases,Sierra Leone,2/23/2015,8223
Cumulative number of probable Ebola cases,Sierra Leone,2/23/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,2/23/2015,2645
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2/23/2015,3423
Cumulative number of confirmed Ebola deaths,Sierra Leone,2/23/2015,3057
Cumulative number of probable Ebola deaths,Sierra Leone,2/23/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2/23/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2/23/2015,1
Cumulative number of confirmed Ebola cases,Mali,2/23/2015,7
Cumulative number of probable Ebola cases,Mali,2/23/2015,1
Cumulative number of suspected Ebola cases,Mali,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2/23/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2/23/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,2/23/2015,19
Cumulative number of probable Ebola cases,Nigeria,2/23/2015,1
Cumulative number of suspected Ebola cases,Nigeria,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2/23/2015,20
Cumulative number of confirmed Ebola cases,Senegal,2/23/2015,1
Cumulative number of probable Ebola cases,Senegal,2/23/2015,0
Cumulative number of suspected Ebola cases,Senegal,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2/23/2015,1
Cumulative number of confirmed Ebola cases,Spain,2/23/2015,1
Cumulative number of probable Ebola cases,Spain,2/23/2015,0
Cumulative number of suspected Ebola cases,Spain,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2/23/2015,1
Cumulative number of confirmed Ebola cases,United States of America,2/23/2015,4
Cumulative number of probable Ebola cases,United States of America,2/23/2015,0
Cumulative number of suspected Ebola cases,United States of America,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2/23/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,2/23/2015,7
Cumulative number of probable Ebola deaths,Nigeria,2/23/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2/23/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,2/23/2015,0
Cumulative number of probable Ebola deaths,Senegal,2/23/2015,0
Cumulative number of suspected Ebola deaths,Senegal,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2/23/2015,0
Cumulative number of confirmed Ebola deaths,Spain,2/23/2015,0
Cumulative number of probable Ebola deaths,Spain,2/23/2015,0
Cumulative number of suspected Ebola deaths,Spain,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2/23/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,2/23/2015,1
Cumulative number of probable Ebola deaths,United States of America,2/23/2015,0
Cumulative number of suspected Ebola deaths,United States of America,2/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2/23/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,2/20/2015,1
Cumulative number of probable Ebola cases,United Kingdom,2/20/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,2/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2/20/2015,3120
Cumulative number of confirmed Ebola cases,Guinea,2/20/2015,2734
Cumulative number of probable Ebola cases,Guinea,2/20/2015,384
Cumulative number of suspected Ebola cases,Guinea,2/20/2015,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2/20/2015,2072
Cumulative number of confirmed Ebola deaths,Guinea,2/20/2015,1688
Cumulative number of probable Ebola deaths,Guinea,2/20/2015,384
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2/20/2015,9096
Cumulative number of confirmed Ebola cases,Liberia,2/20/2015,3152
Cumulative number of probable Ebola cases,Liberia,2/20/2015,1882
Cumulative number of suspected Ebola cases,Liberia,2/20/2015,4062
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2/20/2015,3947
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2/20/2015,11155
Cumulative number of confirmed Ebola cases,Sierra Leone,2/20/2015,8223
Cumulative number of probable Ebola cases,Sierra Leone,2/20/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,2/20/2015,2645
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2/20/2015,3423
Cumulative number of confirmed Ebola deaths,Sierra Leone,2/20/2015,3057
Cumulative number of probable Ebola deaths,Sierra Leone,2/20/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2/20/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2/20/2015,1
Cumulative number of confirmed Ebola cases,Mali,2/20/2015,7
Cumulative number of probable Ebola cases,Mali,2/20/2015,1
Cumulative number of suspected Ebola cases,Mali,2/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2/20/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2/20/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,2/20/2015,19
Cumulative number of probable Ebola cases,Nigeria,2/20/2015,1
Cumulative number of suspected Ebola cases,Nigeria,2/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2/20/2015,20
Cumulative number of confirmed Ebola cases,Senegal,2/20/2015,1
Cumulative number of probable Ebola cases,Senegal,2/20/2015,0
Cumulative number of suspected Ebola cases,Senegal,2/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2/20/2015,1
Cumulative number of confirmed Ebola cases,Spain,2/20/2015,1
Cumulative number of probable Ebola cases,Spain,2/20/2015,0
Cumulative number of suspected Ebola cases,Spain,2/20/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2/20/2015,1
Cumulative number of confirmed Ebola cases,United States of America,2/20/2015,4
Cumulative number of probable Ebola cases,United States of America,2/20/2015,0
